f (Hz),Re(Z),Im(Z)
239.556884765625,935164.0745896876,-11147500.93183145
242.24853515625,895456.5752424572,-10987301.5221314
244.940185546875,857674.6030383697,-10823295.92693327
247.6318359375,851781.7035957875,-10646459.64213696
250.323486328125,858050.9188318881,-10484787.75282365
253.01513671875,854392.5393596943,-10356211.34649804
255.706787109375,842589.0406227129,-10206174.57885662
258.3984375,821872.9737366632,-10061653.51371746
261.090087890625,809743.8231735592,-9905630.999545161
263.78173828125,808953.544361599,-9777594.455545008
266.473388671875,798193.3344081449,-9653183.311529674
269.1650390625,768246.0882150672,-9515791.941059377
271.856689453125,750262.6600579567,-9365642.571851017
274.54833984375,731663.9671874043,-9224494.090239093
277.239990234375,742149.4820190328,-9085464.033760495
279.931640625,758581.8440567796,-8959701.015352825
282.623291015625,759202.3936504477,-8839458.406109799
285.31494140625,754908.744644665,-8720110.896141339
288.006591796875,755022.3338635784,-8608855.329645285
290.6982421875,747632.4749031634,-8514236.393115886
293.389892578125,740165.3927203639,-8418277.00867709
296.08154296875,702359.7946593791,-8329580.794880719
298.773193359375,660843.7238873092,-8227109.690442086
301.46484375,611681.2815959427,-8098777.302128773
304.156494140625,590087.1352381266,-7972971.041523119
306.84814453125,572038.3708555464,-7841301.828232992
309.539794921875,548073.5141393373,-7715361.259085721
312.2314453125,537139.2577058875,-7568901.310353926
314.923095703125,551320.7232195386,-7422156.204703312
317.61474609375,574704.137264856,-7308622.77162943
320.306396484375,585082.6938102589,-7216844.626872723
322.998046875,585921.2708306649,-7127566.654396302
325.689697265625,572719.3634233729,-7027505.641851924
328.38134765625,564773.0632568415,-6920843.662940984
331.072998046875,550398.2502947588,-6806449.817383148
333.7646484375,549123.6737311594,-6697978.039807078
336.456298828125,556273.2590404896,-6593649.768248619
339.14794921875,575741.2954460699,-6508928.902931053
341.839599609375,581996.7804954513,-6419870.770499136
344.53125,584685.2219304824,-6329922.756162276
347.222900390625,577810.1573557465,-6233564.102910659
349.91455078125,579557.3972917801,-6158651.354632357
352.606201171875,582409.23052778,-6074313.396520576
355.2978515625,563069.1928753876,-5983229.944176775
357.989501953125,562586.3149919576,-5910735.333351038
360.68115234375,559367.3541850727,-5828164.424265031
363.372802734375,558319.1733114927,-5749846.292715843
366.064453125,554801.9943501181,-5666117.361694003
368.756103515625,544109.4711437888,-5601391.722749243
371.44775390625,521808.6065128154,-5511197.577382554
374.139404296875,523761.7951142461,-5434260.157099513
376.8310546875,508213.963905824,-5362702.103940587
379.522705078125,497634.7052259204,-5292123.696480234
382.21435546875,469305.3227244665,-5217357.082017235
384.906005859375,451527.0604696051,-5139567.929151311
387.59765625,425205.6511221619,-5043670.301760661
390.289306640625,410040.8818651725,-4953624.867639857
392.98095703125,396339.9906098613,-4858248.64267238
395.672607421875,389135.3592919717,-4759522.459025201
398.3642578125,375188.9989991276,-4678137.475097473
401.055908203125,373656.9062608718,-4592815.723979683
403.74755859375,372046.8462752133,-4504485.135795112
406.439208984375,369706.3526613885,-4426684.234465481
409.130859375,362202.5419585932,-4341869.562549489
411.822509765625,354500.4346272063,-4256139.665767219
414.51416015625,345917.5441483315,-4173801.50044027
417.205810546875,340628.7764895952,-4085003.765427675
419.8974609375,340277.8598643167,-3997281.992541998
422.589111328125,348548.8942131488,-3911179.781546852
425.28076171875,353135.3466322066,-3833485.227251087
427.972412109375,373700.1955967391,-3757195.826595882
430.6640625,388348.0082142036,-3690222.192032168
433.355712890625,397665.6887394243,-3632522.049462348
436.04736328125,391931.9782125424,-3582947.967796936
438.739013671875,381965.7690923838,-3526217.546031459
441.4306640625,358841.9990616456,-3456020.969461314
444.122314453125,343474.2826724022,-3383458.737279717
446.81396484375,335975.4294698675,-3309432.345023524
449.505615234375,322221.0466200956,-3226271.028902434
452.197265625,312781.6961014111,-3149206.028809516
454.888916015625,314257.806265428,-3073345.069187243
457.58056640625,322424.8845432615,-3006678.525245737
460.272216796875,314883.479678611,-2934736.93077201
462.9638671875,317931.4527037242,-2862981.411390997
465.655517578125,309781.3791412182,-2803723.078989116
468.34716796875,301006.8908970036,-2725377.383878642
471.038818359375,306136.064474183,-2659699.162530541
473.73046875,300284.147202177,-2589259.955534623
476.422119140625,298045.6365057243,-2520830.709768818
479.11376953125,290459.1288349653,-2452616.366064598
481.805419921875,292079.0218965971,-2386149.36126074
484.4970703125,280494.9964953759,-2316749.599540215
487.188720703125,280530.8674828695,-2245375.325999166
489.88037109375,276205.2276431001,-2181966.051065647
492.572021484375,279574.7797411529,-2118522.349183633
495.263671875,250304.9306542289,-2049577.743057312
497.955322265625,253717.8758714711,-1981324.249523596
500.64697265625,250593.2888237924,-1905527.586437772
503.338623046875,241574.1162891054,-1836699.752709324
506.0302734375,237371.7994751505,-1746651.156701239
508.721923828125,233600.4241896297,-1681750.671454176
511.41357421875,242078.1501126249,-1606092.42411375
514.105224609375,231731.9103733351,-1529927.011166805
516.796875,255724.8232595363,-1468286.072421402
519.488525390625,252510.0803327532,-1398908.594189755
522.18017578125,259627.2080702858,-1331537.304418827
524.871826171875,259576.6217806115,-1269820.543144929
527.5634765625,264571.2387839303,-1202444.185825038
530.255126953125,263242.0839106205,-1136127.715266502
532.94677734375,264694.8288053906,-1078065.683148775
535.638427734375,270403.2053368602,-1016329.860200694
538.330078125,269201.9838177604,-952319.302209897
541.021728515625,269167.1574705981,-893093.6706848406
543.71337890625,267923.0918201437,-830535.3332311607
546.405029296875,263774.5796993193,-768292.5408213142
549.0966796875,258913.5508788402,-706071.2702500267
551.788330078125,255522.5067297676,-639266.6942976705
554.47998046875,248581.0752371486,-576891.5539967682
557.171630859375,246438.0712263234,-508057.3602126339
559.86328125,244891.4776631849,-441222.7052922911
562.554931640625,243330.4991776206,-371244.5387661696
565.24658203125,247149.4304736793,-304057.1991420099
567.938232421875,247196.7017091521,-236474.0664508324
570.6298828125,246614.4294413137,-174746.7675506969
573.321533203125,250591.2073050748,-103505.8093510626
576.01318359375,250377.0471258829,-39981.31691067155
578.704833984375,252948.7902601988,26014.80703815789
581.396484375,258853.0710273656,93326.64399135273
584.088134765625,255139.5121130997,156933.7417330434
586.77978515625,259510.89223973,223160.8309137548
589.471435546875,263970.166058008,287678.7840085456
592.1630859375,263789.0500053403,354809.1939322553
594.854736328125,268049.8897133151,417003.3913365854
597.54638671875,271039.5306828495,478744.7501569237
600.238037109375,272240.9974299113,544863.433156476
602.9296875,274607.6596684881,608090.1392835559
605.621337890625,277649.7642853638,672879.583318156
608.31298828125,281359.0561108553,738270.8818834849
611.004638671875,285418.4933218287,799358.0288682211
613.6962890625,283448.5201478097,862804.305988019
616.387939453125,286857.9722603909,923087.1881950498
619.07958984375,281513.0715678183,989731.4451872854
621.771240234375,281001.7049743002,1056003.272719793
624.462890625,283039.2072162529,1123885.602647637
627.154541015625,282217.0422014422,1192648.20384123
629.84619140625,285863.9108889537,1261945.210637407
632.537841796875,290535.2648533851,1330681.683678677
635.2294921875,297343.3365894243,1400555.53512451
637.921142578125,300778.7059811187,1462842.214306373
640.61279296875,307642.4905203015,1527484.108628915
643.304443359375,307376.7193199337,1595118.631018592
645.99609375,312254.3062468685,1657187.136156338
648.687744140625,313627.9510925467,1719824.610863874
651.37939453125,315454.9882434935,1789562.966223891
654.071044921875,316728.7177624439,1857492.842876951
656.7626953125,316053.2237737107,1924959.931145099
659.454345703125,325252.4950684476,2000661.382176339
662.14599609375,329444.2761058864,2065123.401421009
664.837646484375,341460.1477563921,2139530.976096388
667.529296875,341859.5492961261,2203178.341237918
670.220947265625,352380.4335305079,2264836.451204114
672.91259765625,360798.601007383,2330452.317411766
675.604248046875,361872.3974682674,2393753.52104621
678.2958984375,360753.936584711,2469335.84866056
680.987548828125,364825.2345913298,2530525.226831882
683.67919921875,367345.2401709103,2595243.65609463
