f (Hz),Re(Z),Im(Z)
333.7646484375,399893.8557007862,-4879807.074869242
336.456298828125,413705.9462853492,-4663586.925268947
339.14794921875,405629.3293215408,-4521719.424434138
341.839599609375,383575.3700597509,-4365594.503737592
344.53125,353630.1123858763,-4208124.570510861
347.222900390625,372673.2234603547,-4088821.279241542
349.91455078125,330276.2992009344,-3970692.486666311
352.606201171875,269023.0951150427,-3851613.9154409
355.2978515625,234053.9505921933,-3704994.02838093
357.989501953125,201141.2027577106,-3563829.674764128
360.68115234375,196258.5307099654,-3428871.198904852
363.372802734375,187544.1343570718,-3309246.064473289
366.064453125,167819.6905585224,-3198368.531112091
368.756103515625,156231.7725824945,-3078609.889719754
371.44775390625,156490.9482066382,-2969338.308540521
374.139404296875,156306.3761589888,-2869573.14228796
376.8310546875,146385.3616084811,-2764691.290602892
379.522705078125,158700.0713733908,-2677513.622573163
382.21435546875,163827.9611153707,-2593311.632802173
384.906005859375,160993.7531411209,-2518573.189317982
387.59765625,154773.7982695881,-2445060.375362276
390.289306640625,150535.9415375803,-2382825.491867981
392.98095703125,137798.5388251297,-2314605.258084768
395.672607421875,116089.39797811,-2239868.673045807
398.3642578125,105054.8892933917,-2162318.137526664
401.055908203125,100768.4586613647,-2084381.959926617
403.74755859375,91676.0186563669,-2003845.015808652
406.439208984375,94535.53408317738,-1930671.396115104
409.130859375,102096.0105449398,-1868190.797206061
411.822509765625,108857.9029310392,-1810954.645784083
414.51416015625,103024.8106084533,-1755122.136718165
417.205810546875,100379.9504069042,-1697387.326569962
419.8974609375,97236.93383183295,-1641701.123146017
422.589111328125,102308.1682676731,-1584738.959499455
425.28076171875,106387.3559477644,-1530942.160694235
427.972412109375,108581.4155391706,-1487544.212755912
430.6640625,106971.9971977924,-1433513.933809635
433.355712890625,102112.2370053563,-1386003.600587631
436.04736328125,107531.4241093053,-1350089.678664621
438.739013671875,85931.64082221004,-1299439.767753765
441.4306640625,89406.85545014481,-1249416.71770594
444.122314453125,79452.53055837358,-1202790.316748048
446.81396484375,72383.24169300508,-1147038.079609243
449.505615234375,73043.32392983855,-1094744.323475039
452.197265625,80654.56898162978,-1048273.622561158
454.888916015625,79265.87908643288,-1005789.697622898
457.58056640625,78920.63952163429,-963383.8833214176
460.272216796875,81282.02785605658,-917449.1980345974
462.9638671875,80981.90270113594,-873996.8053233335
465.655517578125,81938.40238048426,-834005.6187871979
468.34716796875,80192.15940539639,-791136.2992815635
471.038818359375,81512.11027926349,-752313.9988406864
473.73046875,81109.79882660921,-713331.6189109598
476.422119140625,78798.52807890445,-674872.7814962348
479.11376953125,77090.60561702836,-634553.1815222129
481.805419921875,77003.6829150444,-596781.1308725848
484.4970703125,75187.64102833271,-557092.5705776034
487.188720703125,73231.33850585057,-517419.9581078105
489.88037109375,70657.16992811093,-476605.0403768288
492.572021484375,72306.56670745317,-438369.4812308181
495.263671875,72112.8003061677,-399884.7616853472
497.955322265625,71753.87016967658,-360253.7800295753
500.64697265625,72301.94782771736,-323748.1677260611
503.338623046875,71916.26956100945,-285805.2851916876
506.0302734375,72611.67924745266,-248637.749102673
508.721923828125,70904.16611791175,-210851.7040851039
511.41357421875,70392.56521750704,-174218.2627236517
514.105224609375,70302.16505699865,-137258.3129373192
516.796875,70112.98309194591,-98671.12417558731
519.488525390625,70548.43004001926,-62540.15739392859
522.18017578125,69548.98137239764,-24662.3621329335
524.871826171875,69053.91740538142,13156.43637282838
527.5634765625,69615.45957442457,50810.4082261754
530.255126953125,70988.33471915717,88967.27314048383
532.94677734375,73003.5154943323,126040.151246954
535.638427734375,74418.14226258387,161868.9944209871
538.330078125,74521.18523147519,199114.7733515945
541.021728515625,74542.36050219899,235963.1231796732
543.71337890625,74411.99590082465,272855.9657465704
546.405029296875,73887.79467512167,310630.9354198909
549.0966796875,74927.51492750518,348994.0766683283
551.788330078125,74748.63776793166,385188.3042036946
554.47998046875,74488.12854514262,423588.2254309163
557.171630859375,74111.55897378096,462770.7501030801
559.86328125,75622.79280646895,502928.9532442866
562.554931640625,74916.95157261549,542296.6577805128
565.24658203125,76745.39845206794,583267.0722335029
567.938232421875,77037.35209753524,624335.8596642824
570.6298828125,79968.30248108941,668722.7207929768
573.321533203125,83690.27502109388,705846.2457727883
576.01318359375,89140.64025686226,746339.4531448012
578.704833984375,93807.77840968847,782973.098574681
581.396484375,92682.13123910848,823178.2158482078
584.088134765625,89150.11922815986,861460.7654130968
586.77978515625,88598.74073623909,906119.3549826441
589.471435546875,97499.33202580201,946082.2491606422
592.1630859375,94558.9084277012,992998.9512125198
594.854736328125,92664.85786329546,1027855.720088899
597.54638671875,91104.60811050996,1079520.949948141
600.238037109375,91564.89391825369,1120226.808595039
602.9296875,93535.2250370887,1173203.316987518
605.621337890625,93459.43173062513,1222217.203717167
608.31298828125,96242.98564603466,1274776.530288988
611.004638671875,101066.5624128512,1327518.280478296
613.6962890625,103841.6093007456,1378042.181980837
616.387939453125,115368.932989767,1434413.479183699
619.07958984375,125344.1752140731,1476184.381963149
621.771240234375,132906.8871008797,1526106.610734263
624.462890625,133885.2820380773,1574665.977381844
627.154541015625,132447.3257505572,1618523.877289737
629.84619140625,132630.0864422948,1681487.117157908
632.537841796875,139639.1083283806,1740351.780867467
635.2294921875,148148.8119253861,1793673.211865783
637.921142578125,152847.3050821915,1846239.617031894
640.61279296875,147966.7561590657,1893783.9217175
643.304443359375,139045.5759398165,1962636.727513684
645.99609375,136618.089169106,2031499.803054039
648.687744140625,136587.22768231,2103209.747518791
651.37939453125,142380.8573525368,2185448.717007186
654.071044921875,145731.8835061621,2262557.956926888
656.7626953125,157335.9460636654,2340152.706381215
659.454345703125,176486.5521463692,2414547.281536758
662.14599609375,185102.8570879131,2494943.836267352
664.837646484375,204404.4646689629,2571421.38150718
667.529296875,205398.0566257592,2646418.012037862
670.220947265625,215518.5515903532,2718700.116607268
672.91259765625,219981.5027039124,2807856.957507204
675.604248046875,214924.2981097353,2897541.111582865
678.2958984375,217200.4559584704,2997149.735332477
